#Time(s) flow thruput(Mb/s)
1s 0 23.6777
1s 1 21.0134
1s 2 23.0637
1s 3 26.0988
1s 4 22.1602
1s 5 25.6238
1s 6 23.0058
1s 7 23.6545
1s 8 25.1141
1s 9 25.7512
