#Time(s) flow thruput(Mb/s)
5s 0 472.72
5s 1 451.776
5s 2 472.21
5s 3 466.569
5s 4 469.303
5s 5 471.422
5s 6 472.685
5s 7 477.991
5s 8 461.993
5s 9 470.762
5s 10 461.298
5s 11 464.171
5s 12 476.682
5s 13 474.353
5s 14 477.701
5s 15 465.248
5s 16 472.129
5s 17 474.307
5s 18 466.812
5s 19 477.979
