#Time(s) qlen(pkts) qlen(us)
4.00 82 984
4.01 68 816
4.02 71 852
4.03 73 876
4.04 72 864
4.05 75 900
4.06 76 912
4.07 79 948
4.08 75 900
4.09 80 960
4.10 67 804
4.11 77 924
4.12 82 984
4.13 77 924
4.14 73 876
4.15 75 900
4.16 76 912
4.17 72 864
4.18 76 912
4.19 78 936
4.20 79 948
4.21 80 960
4.22 75 900
4.23 75 900
4.24 86 1032
4.25 76 912
4.26 80 960
4.27 77 924
4.28 65 780
4.29 76 912
4.30 81 972
4.31 77 924
4.32 73 876
4.33 72 864
4.34 79 948
4.35 76 912
4.36 76 912
4.37 70 840
4.38 69 828
4.39 77 924
4.40 73 876
4.41 61 732
4.42 83 996
4.43 74 888
4.44 71 852
4.45 71 852
4.46 80 960
4.47 78 936
4.48 78 936
4.49 81 972
4.50 71 852
4.51 79 948
4.52 74 888
4.53 80 960
4.54 63 756
4.55 65 780
4.56 77 924
4.57 76 912
4.58 81 972
4.59 76 912
4.60 68 816
4.61 75 900
4.62 76 912
4.63 76 912
4.64 72 864
4.65 92 1104
4.66 70 840
4.67 70 840
4.68 85 1020
4.69 78 936
4.70 70 840
4.71 83 996
4.72 77 924
4.73 70 840
4.74 78 936
4.75 67 804
4.76 86 1032
4.77 76 912
4.78 86 1032
4.79 76 912
4.80 67 804
4.81 82 984
4.82 76 912
4.83 78 936
4.84 84 1008
4.85 89 1068
4.86 78 936
4.87 74 888
4.88 77 924
4.89 82 984
4.90 81 972
4.91 68 816
4.92 72 864
4.93 74 888
4.94 74 888
4.95 91 1092
4.96 83 996
4.97 83 996
4.98 71 852
4.99 69 828
5.00 68 816
