#Time(s) flow thruput(Mb/s)
1s 0 1.84186
1s 1 0.05792
1s 2 0.301184
1s 3 0.220096
1s 4 0.486528
1s 5 0.52128
1s 6 0.440192
1s 7 0.139008
1s 8 0.52128
1s 9 2.50214
