#Time(s) flow thruput(Mb/s)
3s 0 89.9382
3s 1 96.5179
3s 2 97.6531
3s 3 79.9644
3s 4 106.457
3s 5 99.5761
3s 6 101.464
3s 7 83.4743
3s 8 95.2552
3s 9 106.723
