#Time(s) flow thruput(Mb/s)
5s 0 69.3302
5s 1 71.786
5s 2 73.7669
5s 3 68.5773
5s 4 73.7437
5s 5 68.3919
5s 6 72.0525
5s 7 73.5121
5s 8 80.057
5s 9 73.6742
