#Time(s) flow thruput(Mb/s)
3s 0 477.168
3s 1 481.813
3s 2 485.787
3s 3 484.014
3s 4 472.396
3s 5 468.851
3s 6 495.355
3s 7 481.616
3s 8 487.42
3s 9 483.632
3s 10 487.478
3s 11 474.77
3s 12 489.47
3s 13 475.581
3s 14 478.083
3s 15 480.053
3s 16 477.585
3s 17 480.585
3s 18 486.192
3s 19 482.427
